row_id,graph_gate,smiles_gate,tabular_gate,split
0,6.12446092418395e-05,0.000209239442483522,0.9997294545173645,train
6,8.611937664682046e-05,0.000598033017013222,0.9993158578872681,train
7,0.00026789039839059114,0.0008347113616764545,0.9988973140716553,train
8,0.00030240026535466313,0.0006215901812538505,0.9990760087966919,train
9,0.0001563561672810465,0.00032775953877717257,0.9995158910751343,train
11,0.9824435710906982,0.01652619242668152,0.0010302518494427204,train
12,0.00017548745381645858,0.0004428256652317941,0.9993816614151001,train
15,0.0002897554950322956,0.0005912792985327542,0.999118983745575,train
16,0.0002680894103832543,0.0008111604256555438,0.9989207983016968,train
17,0.000608293863479048,0.0012417657999321818,0.9981499910354614,train
18,0.0002715197333600372,0.0007086735568009317,0.9990197420120239,train
19,0.9802910089492798,0.003094380721449852,0.016614703461527824,train
30,0.00031460035825148225,0.0007132759783416986,0.9989720582962036,train
31,0.0003024391189683229,0.0006342322449199855,0.9990634322166443,train
33,6.777611270081252e-05,0.00042257626773789525,0.9995095729827881,train
34,0.00013497404870577157,0.0007571994210593402,0.9991077780723572,train
48,0.0006806398159824312,0.0012549686944112182,0.9980643391609192,train
49,0.00012782803969457746,0.00029543667915277183,0.99957674741745,train
50,9.155409497907385e-05,0.0002253774437122047,0.999683141708374,train
51,0.00017573896911926568,0.0006544360076077282,0.9991699457168579,train
52,0.00014814289170317352,0.0004278370179235935,0.9994240999221802,train
53,0.0003206177498213947,0.0008197867427952588,0.9988595247268677,train
54,0.00019950205751229078,0.00036239734617993236,0.9994381070137024,train
55,0.0003975823346991092,0.0007188480813056231,0.9988835453987122,train
56,0.00014724898210261017,0.00027649448020383716,0.9995762705802917,train
57,7.841848855605349e-05,0.00026169526972807944,0.9996598958969116,train
60,0.00024256696633528918,0.00041489076102152467,0.9993425011634827,train
61,0.00019435386639088392,0.00019691282068379223,0.9996088147163391,train
62,0.00033067254116758704,0.00028374753310345113,0.9993854761123657,train
63,0.0001301145675824955,0.00029551881016232073,0.9995743632316589,train
64,0.0002072726929327473,0.0005682173068635166,0.9992245435714722,train
65,9.935260459315032e-05,0.00031290616607293487,0.9995877146720886,train
66,0.0001990832097362727,0.0003681551315821707,0.9994327425956726,train
67,0.00016992409655358642,0.00041836738819256425,0.9994117021560669,train
68,0.00027515680994838476,0.000696897623129189,0.9990279674530029,train
69,0.0002995281829498708,0.0005553457885980606,0.9991450309753418,train
70,0.00018270807049702853,0.0004270821518730372,0.9993901252746582,train
71,0.0001840399781940505,0.00036738679045811296,0.9994484782218933,train
72,0.0001457449106965214,0.000440651027020067,0.9994136095046997,train
73,0.0002266131923533976,0.0006605214439332485,0.9991127848625183,train
74,0.000266169459791854,0.0004629729373846203,0.9992708563804626,train
75,0.00011891317990375683,0.0003396021493244916,0.9995415210723877,train
76,0.00024323989055119455,0.00042763500823639333,0.9993290901184082,train
77,0.0001539238728582859,0.00047304198960773647,0.9993730187416077,train
79,0.0001629673788556829,0.0004638379905372858,0.9993732571601868,train
81,0.0003045819466933608,0.0006803275318816304,0.9990149736404419,train
83,0.00015682648518122733,0.000251566554652527,0.9995916485786438,train
86,0.00011043053382309154,0.0004499809583649039,0.999439537525177,train
87,0.0002011893520830199,0.0005854963674210012,0.9992133378982544,train
88,0.00015316517965402454,0.0006103815394453704,0.9992364645004272,train
96,0.0002758321934379637,0.0006307250587269664,0.9990934133529663,train
97,0.00023921160027384758,0.0004926098044961691,0.9992682337760925,train
98,0.9820752739906311,0.004114862997084856,0.01380992028862238,train
99,0.9799193143844604,0.006237989291548729,0.013842806220054626,train
100,0.9802647829055786,0.006057301536202431,0.013677999377250671,train
101,0.9737812280654907,0.007427360396832228,0.01879141852259636,train
102,0.9762347936630249,0.0069066486321389675,0.016858544200658798,train
103,0.9797890782356262,0.004503053147345781,0.01570781134068966,train
104,0.9787012338638306,0.004565990995615721,0.01673274114727974,train
105,0.9861709475517273,0.004463299177587032,0.009365728124976158,train
106,0.9854963421821594,0.004099618177860975,0.010404102504253387,train
107,0.9794241189956665,0.005984233692288399,0.014591643586754799,train
108,0.979658842086792,0.004159035161137581,0.016182107850909233,train
110,0.9807697534561157,0.005868659354746342,0.01336158812046051,train
111,0.0002800606598611921,0.0007851503323763609,0.998934805393219,train
112,0.00018883065786212683,0.0003056582354474813,0.9995055198669434,train
113,8.370544674107805e-05,0.00025571545120328665,0.9996606111526489,train
114,8.045705180848017e-05,0.0002993892412632704,0.9996201992034912,train
115,8.34068123367615e-05,0.0001918727211887017,0.9997246861457825,train
116,8.168015483533964e-05,0.0002567197661846876,0.9996616840362549,train
117,0.0001862280914792791,0.00045265365042723715,0.9993610978126526,train
118,0.00021330737217795104,0.00038490098086185753,0.9994018077850342,train
119,0.0002276762534165755,0.0003712924080900848,0.9994010925292969,train
120,0.00013713198131881654,0.0003179541090503335,0.9995449185371399,train
121,0.0001244695740751922,0.0002863970003090799,0.9995891451835632,train
122,0.0001427917741239071,0.00031493999995291233,0.9995423555374146,train
123,0.00019572539895307273,0.0005789123242720962,0.999225378036499,train
127,0.00013267000031191856,0.0002592286909930408,0.9996082186698914,train
128,0.00011364678357494995,0.00012732375762425363,0.9997590184211731,train
129,0.0001039251874317415,0.00029327665106393397,0.9996028542518616,train
130,0.00010410905815660954,0.0002476699883118272,0.9996482133865356,train
131,0.00012270949082449079,0.00027897284599021077,0.9995983242988586,train
132,0.00016667628369759768,0.0004481556243263185,0.9993851184844971,train
133,0.00018027490295935422,0.00027700141072273254,0.9995427131652832,train
134,0.0001248130138264969,0.0003886593913193792,0.9994864463806152,train
135,0.00010795710113598034,0.0008784542442299426,0.9990135431289673,train
138,6.546632357640192e-05,0.0001470057904953137,0.9997876286506653,train
139,7.412477134494111e-05,0.00015567972150165588,0.9997702240943909,train
140,0.00011945614096475765,0.0003448164206929505,0.9995356798171997,train
141,0.00012063305621268228,0.0003196249308530241,0.9995598196983337,train
142,6.690245936624706e-05,0.00023323787900153548,0.9996999502182007,train
145,0.000185784199857153,0.00017511747137177736,0.9996390342712402,train
146,9.895135735860094e-05,0.0002442051481921226,0.9996569156646729,train
147,8.304332004627213e-05,0.000233991420827806,0.9996830224990845,train
148,0.0001882609212771058,0.00046116806333884597,0.9993506073951721,train
149,7.900776108726859e-05,0.00038210739148780704,0.9995388984680176,train
150,7.525752880610526e-05,0.00033473718212917447,0.9995899796485901,train
151,0.00018604210345074534,0.0006347846938297153,0.9991791844367981,train
152,0.000391938432585448,0.0006491858512163162,0.998958945274353,train
153,8.311099372804165e-05,0.0004920196952298284,0.9994248151779175,train
154,9.712603787193075e-05,0.0008427009452134371,0.9990600943565369,train
155,4.950273432768881e-05,0.00031867093639448285,0.9996318817138672,train
156,0.00021541607566177845,0.0010096955811604857,0.9987749457359314,train
157,5.438288644654676e-05,0.0005208033253438771,0.999424934387207,train
158,0.00011664129851851612,0.0007300657453015447,0.9991533756256104,train
159,0.0001577272778376937,0.00036337957135401666,0.9994788765907288,train
160,9.84313155640848e-05,0.00023155583767220378,0.9996700286865234,train
161,8.077386883087456e-05,0.00036295020254328847,0.9995562434196472,train
162,0.0001878247712738812,0.0004871800192631781,0.9993249177932739,train
163,0.00011836972407763824,0.00042623060289770365,0.9994555115699768,train
164,0.00019954031449742615,0.0007119285874068737,0.9990885257720947,train
165,9.417436376679689e-05,0.0006672154413536191,0.9992386102676392,train
166,6.001354267937131e-05,0.00011035663192160428,0.9998295307159424,train
167,0.0001840258773881942,0.00039547638152725995,0.9994205236434937,train
171,0.00011308122338959947,0.00047985417768359184,0.9994070529937744,train
172,7.721172732999548e-05,0.0004685813037212938,0.9994542002677917,train
174,6.57295822747983e-05,0.0006097296136431396,0.9993245601654053,train
175,0.00011776511382777244,0.0007427055388689041,0.9991394281387329,train
176,0.00015959370648488402,0.0005929549224674702,0.9992474317550659,train
177,9.55279974732548e-05,0.0007386395009234548,0.9991658926010132,train
178,8.542358409613371e-05,0.0008171311346814036,0.999097466468811,train
179,5.4784009989816695e-05,0.00042888696771115065,0.9995162487030029,train
180,0.00014485919382423162,0.0003881906159222126,0.9994669556617737,train
181,0.00012114182754885405,0.00023982080165296793,0.9996390342712402,train
182,0.00012310266902204603,0.00027906132163479924,0.9995978474617004,train
183,0.0001747508067637682,0.000321377330692485,0.9995038509368896,train
184,0.00023763197532389313,0.0004476030298974365,0.9993147850036621,train
185,0.0001303167809965089,0.00034335683449171484,0.9995262622833252,train
186,0.0001534103648737073,0.00022394895495381206,0.9996227025985718,train
187,0.00033263899968005717,0.0006218859925866127,0.9990454316139221,train
188,0.0005943778087384999,0.000734318804461509,0.998671293258667,train
189,0.00012617917673196644,0.0004491420404519886,0.9994246959686279,train
190,0.00020024603873025626,0.000508248049300164,0.9992914199829102,train
191,0.0002663374471012503,0.0004954785690642893,0.999238133430481,train
193,0.00010313818347640336,0.0003071438695769757,0.9995896220207214,train
194,0.00011738744069589302,0.00029066004208289087,0.9995920062065125,train
196,0.0001316628186032176,0.0003659262729343027,0.999502420425415,train
197,0.00018333455955144018,0.0003803801373578608,0.9994361996650696,train
199,0.0001711053482722491,0.0004237898101564497,0.9994051456451416,train
200,0.00032565725268796086,0.0004961271188221872,0.9991782307624817,train
201,4.3086536607006565e-05,0.00042554992251098156,0.9995313882827759,train
202,0.00016620384121779352,0.0005643516778945923,0.999269425868988,train
209,0.0001441650529159233,0.0004200340190436691,0.9994358420372009,train
210,0.0002581689041107893,0.0004744256439153105,0.9992673993110657,train
211,0.0002573668898548931,0.0002889087190851569,0.9994537234306335,train
212,0.00023230965598486364,0.0004169313469901681,0.9993507266044617,train
214,7.483130320906639e-05,0.0001755070115905255,0.9997496008872986,train
215,3.732903132913634e-05,6.80521407048218e-05,0.9998946189880371,train
216,8.362507651327178e-05,0.0006172884604893625,0.9992990493774414,train
217,0.00012999352475162596,0.0003841764118988067,0.9994858503341675,train
218,5.778118429589085e-05,0.0001453855074942112,0.9997968077659607,train
219,6.928145739948377e-05,0.00011163257295265794,0.9998190999031067,train
222,9.063926700036973e-05,0.0001426113594789058,0.9997666478157043,train
223,0.0001798691664589569,0.0005706687225028872,0.9992493987083435,train
226,0.00011190863733645529,0.00031521436176262796,0.9995729327201843,train
231,0.00031226701685227454,0.00030418336973525584,0.9993835687637329,train
232,0.00012696390331257135,0.0004015961312688887,0.9994713664054871,train
234,0.0001557560171931982,0.0005014233174733818,0.9993428587913513,train
235,0.00021081135491840541,0.0007773791439831257,0.999011754989624,train
236,0.00010448209650348872,0.00016762226005084813,0.9997277855873108,train
237,6.468522042268887e-05,0.0003385699528735131,0.9995967745780945,train
238,5.286054511088878e-05,0.00020520725229289383,0.9997418522834778,train
239,0.011238442733883858,0.9832237958908081,0.005537719465792179,train
240,0.008347704075276852,0.9749130606651306,0.016739219427108765,train
241,0.0157709289342165,0.9758803844451904,0.008348679170012474,train
242,0.00573841854929924,0.9841199517250061,0.010141659528017044,train
243,0.0004083510721102357,0.0004937500925734639,0.9990978240966797,train
245,0.00016572805179748684,0.000586728798225522,0.9992475509643555,train
246,6.731542089255527e-05,0.00041721525485627353,0.9995154142379761,train
247,0.00013321444566827267,0.0003804510924965143,0.9994863271713257,train
248,6.907759234309196e-05,0.0002815433545038104,0.9996492862701416,train
249,6.790571205783635e-05,0.0003176080354023725,0.9996144771575928,train
250,0.000112925234134309,0.0005215060664340854,0.9993656277656555,train
251,0.0001410877739544958,0.00030656528542749584,0.999552309513092,train
252,0.0001707052724668756,0.000271357101155445,0.9995579123497009,train
253,0.0003270509769208729,0.0004375152930151671,0.9992353916168213,train
254,0.00016698930994607508,0.00044163301936350763,0.9993913173675537,train
255,0.00016578944632783532,0.00045377921196632087,0.999380350112915,train
256,0.00016486432286910713,0.0003828928165603429,0.9994521737098694,train
257,0.000134254340082407,0.00033594248816370964,0.9995298385620117,train
258,0.00015090683882590383,0.0003436566621530801,0.9995054006576538,train
259,0.0004828796081710607,0.00037894785054959357,0.9991381168365479,train
261,0.00012525935017038137,0.00024431379279121757,0.9996304512023926,train
262,0.00019582221284508705,0.0004333688411861658,0.9993707537651062,train
263,0.0002533287915866822,0.000543106987606734,0.9992035031318665,train
264,0.00013623975974041969,0.00037076001171953976,0.9994930028915405,train
265,0.0001599070819793269,0.0005421316018328071,0.9992979764938354,train
266,0.00047982879914343357,0.0008105490705929697,0.9987096786499023,train
267,0.00028731036582030356,0.0005516672972589731,0.9991610050201416,train
268,8.045012509683147e-05,0.00022527595865540206,0.9996943473815918,train
269,0.00013554577890317887,0.0002123405720340088,0.9996521472930908,train
270,0.00011450982856331393,0.00025813138927333057,0.9996273517608643,train
271,0.0001946100383065641,0.0005309673142619431,0.9992744326591492,train
272,0.00011217276187380776,0.0003369028272572905,0.999550998210907,train
273,0.00017470333841629326,0.0004568191652651876,0.9993686079978943,train
274,8.011638419702649e-05,0.0002989666536450386,0.9996209144592285,train
275,0.000407258776249364,0.0006363674183376133,0.9989563226699829,train
276,0.00013126507110428065,0.0004000852641183883,0.9994686245918274,train
277,0.00011245086352573708,0.00039905711309984326,0.9994884729385376,train
278,0.00022057117894291878,0.0005569248460233212,0.9992225170135498,train
279,0.00010225930600427091,0.00042209713137708604,0.9994756579399109,train
280,0.00021325479610823095,0.000649451685603708,0.999137282371521,train
281,0.0004752709355670959,0.0005750144482590258,0.9989497065544128,train
282,0.00016533468442503363,0.0005536001408472657,0.999281108379364,train
283,0.0002020594838541001,0.0004672316135838628,0.9993307590484619,train
284,8.559689013054594e-05,0.0003403022128622979,0.9995741248130798,train
285,0.00010766111518023536,0.00032688520150259137,0.9995654225349426,train
286,0.00010097312042489648,0.0003046789497602731,0.9995943903923035,train
287,0.00028768109041266143,0.0005875251954421401,0.9991248250007629,train
288,0.0001339961017947644,0.00018844935402739793,0.9996776580810547,train
289,0.0001643635769141838,0.00032507540890946984,0.999510645866394,train
291,0.00011465932038845494,0.000540197070222348,0.9993452429771423,train
293,0.00022957446344662458,0.001263906480744481,0.998506486415863,train
294,0.0001658764376770705,0.0008576385444030166,0.998976469039917,train
295,9.444220631849021e-05,0.00043337151873856783,0.9994722008705139,train
296,0.00011871158494614065,0.0004295897379051894,0.9994516968727112,train
297,0.00026897178031504154,0.0008507024613209069,0.9988803267478943,train
298,0.00016150175360962749,0.0006796158268116415,0.9991588592529297,train
300,0.00015132848056964576,0.0005827081622555852,0.9992659687995911,train
301,0.0001452466385671869,0.00037274984060786664,0.9994820952415466,train
302,0.000334972923155874,0.0008571893558837473,0.9988079071044922,train
303,0.0002490033220965415,0.00071959343040362,0.9990314245223999,train
304,0.00014820734213571995,0.0005420821835286915,0.999309778213501,train
305,0.00012967766087967902,0.0003768920141737908,0.9994934797286987,train
306,0.00018992887635249645,0.0006716792122460902,0.999138355255127,train
307,0.00025360711151733994,0.0013399639865383506,0.9984064698219299,train
308,0.00023185262398328632,0.0013166549615561962,0.9984514713287354,train
309,0.0002288729592692107,0.0005569126224145293,0.9992142915725708,train
310,0.0002633346593938768,0.000803695060312748,0.9989330172538757,train
311,0.00017596632824279368,0.0005142762092873454,0.999309778213501,train
317,0.00031165601103566587,0.0004540873342193663,0.9992343187332153,train
318,0.00018058327259495854,0.0003196035686414689,0.9994997978210449,train
319,0.0002434783527860418,0.0005166021292097867,0.9992399215698242,train
320,0.00027669090195558965,0.0009581584599800408,0.9987651109695435,train
321,0.00017418111383449286,0.00033052064827643335,0.999495267868042,train
322,0.00014783813094254583,0.0003025634796358645,0.9995495676994324,train
324,0.0003129592223558575,0.0005312968860380352,0.9991556406021118,train
325,0.00010818160808412358,0.00015462833107449114,0.9997372031211853,train
327,0.0002646739885676652,0.00041302296449430287,0.9993222951889038,train
328,0.00010589385055936873,0.00029929482843726873,0.9995947480201721,train
329,0.00013659043179359287,0.0004928050911985338,0.9993705153465271,train
330,0.00021269358694553375,0.0003270235320087522,0.9994602799415588,train
331,0.00011130756320198998,0.0003054043045267463,0.9995833039283752,train
332,0.00013224421127233654,0.00041296114795841277,0.9994547963142395,train
333,0.00012510822853073478,0.00038726869388483465,0.9994876384735107,train
334,0.00012477842392399907,0.00023691837850492448,0.9996383190155029,train
337,9.33845731196925e-05,0.0004525319382082671,0.9994540810585022,train
338,8.696463191881776e-05,0.00042319504427723587,0.9994897842407227,train
339,8.794825407676399e-05,0.0002893811615649611,0.9996227025985718,train
340,0.00012215424794703722,0.00028575348551385105,0.999592125415802,train
341,0.00010153245239052922,0.00040070543764159083,0.9994977712631226,train
342,8.073644858086482e-05,0.0003484425542410463,0.9995707869529724,train
343,0.0004515690088737756,0.0005337636102922261,0.9990146160125732,train
344,0.00010187129373662174,0.0004141657263971865,0.9994839429855347,train
345,9.64888313319534e-05,0.0004050983989145607,0.9994983673095703,train
348,0.997593343257904,0.0013998226495459676,0.0010068039409816265,train
349,0.9988001585006714,0.0007043370860628784,0.0004954194300808012,train
350,0.9982972741127014,0.0012709753355011344,0.0004317505517974496,train
351,0.0001499115751357749,5.5361328122671694e-05,0.9997947812080383,train
352,5.541501741390675e-05,5.316564784152433e-05,0.9998914003372192,train
353,0.00010492472210898995,3.793075666180812e-05,0.9998571872711182,train
354,8.012243779376149e-05,5.171411612536758e-05,0.9998681545257568,train
355,0.0005443022237159312,0.0014530390035361052,0.9980027079582214,train
356,0.0001675943931331858,0.00044811851694248617,0.9993842840194702,train
358,0.0002686205261852592,0.0033411288168281317,0.996390163898468,train
359,0.00010275674139847979,0.0007613911875523627,0.9991357922554016,train
360,0.0001370577811030671,0.0018129547825083137,0.9980499744415283,train
362,0.00031529745319858193,0.000943334773182869,0.9987414479255676,train
